Date,Open,High,Low,Close,Volume
25/06/2018,61.662498,61.700001,58.884998,59.779999,66581600
26/06/2018,60.924999,61.412498,59.977501,60.497501,47888400
27/06/2018,60.9375,61.607498,58.875,58.93,45389200
28/06/2018,58.830002,60.334999,58.752499,60.215,33801200
29/06/2018,60.872501,61,59.212502,59.224998,39230000
02/07/2018,58.522499,60.5975,58.314999,60.560001,35757200
03/07/2018,60.91,60.970001,59.125,59.209999,22273200
05/07/2018,59.767502,60.732498,59.375,60.682499,30621600
06/07/2018,60.435001,61.9175,60.220001,61.8325,29635200
09/07/2018,62.5825,62.68,61.517502,62.3125,30388000
10/07/2018,62.4375,63.535,62.029999,63.3125,36001600
11/07/2018,62.375,62.724998,61.775002,61.8825,36750800
12/07/2018,62.34,63.2925,62.240002,62.807499,34550800
13/07/2018,62.994999,62.994999,61.904999,62.330002,24698800
16/07/2018,62.049999,62.584999,61.924999,62.049999,19703600
17/07/2018,61.552502,63.575001,61.294998,63.422501,36213600
18/07/2018,63.3475,63.487499,62.41,62.924999,27764000
19/07/2018,62.735001,63.3475,62.5825,63.0075,23575200
20/07/2018,62.982498,63.375,62.612499,62.7225,22235200
23/07/2018,62.455002,62.4725,60.82,62.352501,30158400
24/07/2018,62.837502,63.712502,62,62.177502,35462000
25/07/2018,62.272499,63.095001,61.6875,62.967499,31911200
26/07/2018,62.764999,64.082497,62.595001,63.709999,32512400
27/07/2018,64.080002,64.150002,62.459999,63.005001,29542000
30/07/2018,63.147499,63.2075,60.68,61.032501,34034000
31/07/2018,60.927502,61.970001,60.535,61.215,28398800
01/08/2018,61.532501,62.09,60.9725,61.6175,28355600
02/08/2018,60.897499,62.695,60.302502,62.654999,26966800
03/08/2018,62.9025,63.264999,62.732498,63.025002,21428800
06/08/2018,62.897499,63.5425,62.427502,63.5075,20750800
07/08/2018,64,64.425003,63.73,64.237503,25813200
08/08/2018,64.25,65.059998,63.897499,64.605003,26210000
09/08/2018,64.785004,64.8125,64.037498,64.114998,20428000
10/08/2018,63.287498,64.025002,63.174999,63.697498,25639600
13/08/2018,63.785,65.25,63.767502,64.029999,37520800
14/08/2018,65.095001,65.5,64.254997,65.357498,46622000
15/08/2018,65.567497,65.910004,63.974998,64.769997,59113600
16/08/2018,65.474998,65.5,63.752499,64.360001,80126000
17/08/2018,63.235001,63.2425,60.932499,61.205002,114318800
20/08/2018,60.794998,63.299999,59.68,61.959999,85438800
21/08/2018,62.125,63.375,61.924999,63.330002,67398800
22/08/2018,63,65.754997,62.965,65.705002,74985600
23/08/2018,65.315002,67.370003,65.175003,66.709999,72068400
24/08/2018,66.794998,68.202499,66.75,68.055,53151200
27/08/2018,68.355003,69.724998,68.037498,68.974998,50577600
28/08/2018,68.915001,69.144997,67.3825,68.595001,47538400
29/08/2018,68.480003,69.875,68.269997,69.622498,42010800
30/08/2018,69.307503,70.43,69.080002,69.452499,34660800
31/08/2018,69.25,70.300003,69.150002,70.169998,30659200
04/09/2018,70.037498,71.305,69.75,70.925003,39172000
05/09/2018,70.747498,71.105003,68.787498,69.605003,39315600
06/09/2018,69.440002,69.464996,67.847504,68.18,32279600
07/09/2018,67.25,69.232498,66.797501,67.964996,29542000
10/09/2018,68.192497,68.982498,67.75,68.682503,22014000
11/09/2018,68.214996,69.099998,68.004997,68.199997,24311200
12/09/2018,67.797501,67.995003,65.480003,67.050003,41909200
13/09/2018,67.714996,68.75,67.540001,67.834999,30553600
14/09/2018,68.747498,69.775002,68.375,69.107498,38693600
17/09/2018,68.849998,69.345001,68.287498,68.482498,20552800
18/09/2018,68.522499,69.559998,67.6875,67.754997,29952000
19/09/2018,67.567497,68.175003,67.0625,67.995003,22486000
20/09/2018,66.762497,67.190002,66.025002,66.57,43058400
21/09/2018,66.690002,67.150002,65.527496,65.862503,43512800
24/09/2018,65.550003,66.459999,64.669998,66.425003,29391200
25/09/2018,67.092499,67.355003,66.227501,67.102501,28038800
26/09/2018,67.152496,67.559998,66.57,66.730003,26854800
27/09/2018,67.084999,67.300003,66.532501,66.849998,21442800
28/09/2018,68.182503,70.480003,67.900002,70.254997,70939600
01/10/2018,71.040001,73.014999,70.650002,72.339996,62206000
02/10/2018,72.0625,73.190002,71.394997,71.620003,38396400
03/10/2018,72.330002,72.404999,70.6325,71.682503,32055200
04/10/2018,71.317497,71.5625,69.044998,69.822502,39122000
05/10/2018,69.572502,70.199997,66.885002,67.464996,42663600
08/10/2018,66.625,67.790001,65.019997,66.442497,40861200
09/10/2018,66.235001,67.190002,65.699997,66.385002,27350000
10/10/2018,65.315002,65.777496,61.400002,61.422501,68494000
11/10/2018,60.5425,61.889999,58.564999,58.782501,72543600
12/10/2018,61.377499,62.384998,59.912498,61.634998,60823600
15/10/2018,61.5,61.5,58.834999,58.845001,44976000
16/10/2018,59.982498,61.57,59.485001,61.4575,40871200
17/10/2018,62.084999,62.470001,60.27,60.764999,32966800
18/10/2018,61.465,61.852501,59.272499,59.8825,52402000
19/10/2018,60.439999,60.637501,56.924999,57.2925,61360800
22/10/2018,57.82,58.830002,56.767502,57.805,36884400
23/10/2018,55.107498,56.047501,54.177502,55.264999,62643600
24/10/2018,54.877499,55.3475,49.712502,49.852501,88428800
25/10/2018,48.8675,52.4375,48.419998,51.959999,95172000
26/10/2018,49.577499,51.209999,48.279999,49.572498,66478400
29/10/2018,50.997501,51.032501,44.002499,46.404999,75801600
30/10/2018,46.637501,50.849998,46.404999,50.75,80719200
31/10/2018,52.412498,53.147499,51.002499,52.7075,74577200
01/11/2018,53.075001,54.622501,51.797501,54.5275,56652800
02/11/2018,54.432499,55.5,52.552502,53.73,45296000
05/11/2018,53.5975,53.8325,51.32,52.942501,37933200
06/11/2018,52.862499,53.712502,52.389999,52.764999,29901200
07/11/2018,53.4375,54.352501,52.794998,53.447498,48381200
08/11/2018,52.849998,52.857498,50.9575,51.497501,51135200
09/11/2018,50.599998,52.330002,50.259998,51.4175,41324000
12/11/2018,50.494999,50.717499,47.165001,47.384998,61711600
13/11/2018,48.372501,51.052502,48.310001,49.827499,64471200
14/11/2018,51.575001,51.720001,48.2075,49.297501,52658000
15/11/2018,49.237499,51.325001,48.875,50.5975,84070800
16/11/2018,40.830002,42.665001,40.4025,41.107498,196352000
19/11/2018,40.447498,40.455002,36.157501,36.174999,169782000
20/11/2018,33.514999,38.564999,33.327499,37.27,169203200
21/11/2018,38.654999,38.825001,35.9025,36.177502,102549600
23/11/2018,35.827499,37.397499,35.697498,36.25,41196800
26/11/2018,37.4725,38.3675,36.639999,38.262501,81483200
27/11/2018,38,39.252499,37.637501,38.432499,73806000
28/11/2018,39.619999,40.07,38.282501,40.017502,80452400
29/11/2018,40,40.375,39.035,39.34,54917200
30/11/2018,39.4375,40.965,38.93,40.857498,72956400
03/12/2018,43.150002,43.669998,41.834999,42.509998,89080400
04/12/2018,42.060001,42.110001,39.125,39.2775,81211200
06/12/2018,37.860001,39.622501,37.702499,39.572498,69230800
07/12/2018,39.615002,39.717499,36.404999,36.9025,68167600
10/12/2018,36.450001,38.215,36.412498,37.965,62947200
